nohup: ignoring input

   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2024-09-22 10:33:03 ................................................... ~ 0s
  2024-09-22 10:33:03 ................................................... ~ 1s
  2024-09-22 10:33:03 ................................................... ~ 1s
  2024-09-22 10:33:04 ................................................... ~ 0s
  2024-09-22 10:33:04 ................................................... ~ 0s
  2024-09-22 10:33:04 ................................................... ~ 0s
  2024-09-22 10:33:04 ................................................... ~ 1s
  2024-09-22 10:33:04 ................................................... ~ 1s
  2024-09-22 10:33:05 ................................................... ~ 0s
  2024-09-22 10:33:05 ................................................... ~ 0s
  2024-09-22 10:33:05 ................................................... ~ 0s
  2024-09-22 10:33:05 ................................................... ~ 1s
  2024-09-22 10:33:32 ................................................... ~ 0s
  2024-09-22 10:34:02 ................................................... ~ 0s
  2024-09-22 10:34:02 ................................................... ~ 0s
  2024-09-22 10:34:07 ................................................... ~ 0s
  2024-09-22 10:34:07 ................................................... ~ 0s
  2024-09-22 10:34:07 ................................................... ~ 1s
  2024-09-22 10:34:07 ................................................... ~ 1s
  2024-09-22 10:34:08 ................................................... ~ 0s
  2024-09-22 10:34:08 ................................................... ~ 0s
  2024-09-22 10:34:10 ................................................... ~ 0s
  2024-09-22 10:34:10 ................................................... ~ 0s
  2024-09-22 10:34:10 ................................................... ~ 0s
  2024-09-22 10:34:10 ................................................... ~ 1s
  2024-09-22 10:34:13 ................................................... ~ 1s
  2024-09-22 10:34:14 ................................................... ~ 0s
  2024-09-22 10:34:20 ................................................... ~ 0s
  2024-09-22 10:34:20 ................................................... ~ 1s
  2024-09-22 10:34:20 ................................................... ~ 1s
  2024-09-22 10:34:21 ................................................... ~ 0s
  2024-09-22 10:34:21 ................................................... ~ 0s
  2024-09-22 10:34:21 ................................................... ~ 0s
  2024-09-22 10:34:21 ................................................... ~ 0s
  2024-09-22 10:34:21 ................................................... ~ 1s
  2024-09-22 10:43:17 ................................................... ~ 0s
  2024-09-22 10:43:20 ................................................... ~ 0s
  2024-09-22 10:43:28 /favicon.ico ...................................... ~ 0s
  2024-09-22 10:43:31 /favicon.ico ...................................... ~ 0s
  2024-09-22 10:44:09 ................................................... ~ 0s
  2024-09-22 10:54:26 ................................................... ~ 0s
  2024-09-22 10:54:26 ................................................... ~ 1s
  2024-09-22 11:12:08 ................................................... ~ 1s
  2024-09-22 11:18:47 ................................................... ~ 0s
  2024-09-22 11:18:47 ................................................... ~ 1s
  2024-09-22 11:18:48 ................................................... ~ 0s
  2024-09-22 11:18:48 ................................................... ~ 1s
  2024-09-22 11:18:49 ................................................... ~ 0s
  2024-09-22 11:18:49 ................................................... ~ 0s
  2024-09-22 11:18:49 ................................................... ~ 0s
  2024-09-22 11:18:49 ................................................... ~ 0s
  2024-09-22 11:18:49 ................................................... ~ 1s
  2024-09-22 11:18:49 ................................................... ~ 1s
  2024-09-22 11:18:50 ................................................... ~ 0s
  2024-09-22 11:18:50 ................................................... ~ 1s
  2024-09-22 11:30:29 ................................................... ~ 1s
  2024-09-22 11:32:43 ................................................... ~ 1s
  2024-09-22 11:32:44 ................................................... ~ 0s
  2024-09-22 11:32:44 ................................................... ~ 1s
  2024-09-22 11:32:45 ................................................... ~ 0s
  2024-09-22 11:32:45 ................................................... ~ 0s
  2024-09-22 11:32:45 ................................................... ~ 0s
  2024-09-22 11:32:45 ................................................... ~ 0s
  2024-09-22 11:32:45 ................................................... ~ 1s
  2024-09-22 11:32:45 ................................................... ~ 1s
  2024-09-22 11:32:46 ................................................... ~ 1s
  2024-09-22 11:32:48 ................................................... ~ 0s
  2024-09-22 11:32:48 ................................................... ~ 1s
  2024-09-22 11:33:15 ................................................... ~ 0s
  2024-09-22 11:33:15 ................................................... ~ 1s
  2024-09-22 11:33:52 ................................................... ~ 0s
